time,speedKph,steeringDeg,yawRadSec,frontSlip,rearSlip,drift,x,z
0.02,89.555,1.700,0.017,0.0271,0.0003,0.000,0.000,-79.502
0.04,88.886,3.400,0.049,0.0532,0.0014,0.000,0.001,-79.009
0.06,88.333,5.100,0.102,0.0780,0.0036,0.000,0.004,-78.518
0.08,88.237,6.800,0.180,0.1019,0.0075,0.000,0.007,-78.027
0.10,88.292,8.500,0.274,0.1257,0.0133,0.000,0.013,-77.537
0.12,88.399,9.920,0.377,0.1456,0.0208,0.000,0.022,-77.046
0.14,88.529,10.132,0.474,0.1474,0.0299,0.000,0.033,-76.554
0.16,88.667,10.226,0.564,0.1492,0.0400,0.000,0.048,-76.062
0.18,88.808,10.209,0.645,0.1508,0.0510,0.000,0.065,-75.569
0.20,88.947,10.090,0.718,0.1524,0.0626,0.000,0.085,-75.075
0.22,89.084,9.879,0.782,0.1537,0.0745,0.000,0.109,-74.581
0.24,89.217,9.586,0.836,0.1549,0.0865,0.000,0.137,-74.086
0.26,89.346,9.222,0.881,0.1560,0.0985,0.000,0.168,-73.590
0.28,89.469,8.800,0.917,0.1569,0.1103,0.000,0.204,-73.095
0.30,89.588,8.329,0.944,0.1576,0.1217,0.000,0.244,-72.598
0.32,89.700,7.820,0.962,0.1581,0.1327,0.000,0.288,-72.102
0.34,89.807,7.283,0.972,0.1585,0.1431,0.000,0.337,-71.605
0.36,89.907,6.728,0.976,0.1588,0.1528,0.000,0.391,-71.108
0.38,90.002,6.163,0.972,0.1589,0.1619,0.000,0.450,-70.611
0.40,90.091,5.598,0.963,0.1589,0.1702,0.000,0.513,-70.115
0.42,90.174,5.037,0.949,0.1588,0.1778,0.000,0.582,-69.618
0.44,90.251,4.490,0.930,0.1586,0.1846,0.000,0.657,-69.122
0.46,90.324,3.960,0.907,0.1584,0.1906,0.000,0.736,-68.626
0.48,90.393,3.452,0.881,0.1580,0.1958,0.000,0.822,-68.131
0.50,90.457,2.972,0.853,0.1576,0.2003,0.000,0.912,-67.636
0.52,90.518,2.522,0.822,0.1572,0.2039,0.000,1.008,-67.142
0.54,90.576,2.106,0.789,0.1567,0.2068,0.000,1.110,-66.649
0.56,90.632,1.725,0.755,0.1562,0.2089,0.000,1.217,-66.157
0.58,90.686,1.382,0.721,0.1557,0.2103,0.000,1.330,-65.665
0.60,90.740,1.077,0.685,0.1551,0.2110,0.000,1.448,-65.175
0.62,90.792,0.812,0.650,0.1545,0.2110,0.000,1.572,-64.686
0.64,90.845,0.588,0.614,0.1540,0.2103,0.000,1.701,-64.197
0.66,90.898,0.403,0.579,0.1534,0.2089,0.000,1.835,-63.710
0.68,90.953,0.258,0.544,0.1528,0.2070,0.000,1.976,-63.225
0.70,91.009,0.154,0.510,0.1522,0.2045,0.000,2.121,-62.740
0.72,91.067,0.088,0.477,0.1517,0.2016,0.000,2.272,-62.257
0.74,91.127,0.059,0.446,0.1511,0.1982,0.000,2.428,-61.775
0.76,91.190,0.067,0.417,0.1506,0.1944,0.000,2.590,-61.295
0.78,91.257,0.109,0.390,0.1501,0.1902,0.000,2.756,-60.816
0.80,91.326,0.183,0.365,0.1497,0.1859,0.000,2.928,-60.338
0.82,91.400,0.286,0.343,0.1493,0.1814,0.000,3.105,-59.862
0.84,91.477,0.415,0.324,0.1489,0.1767,0.000,3.287,-59.387
