time,speedKph,steeringDeg,yawRadSec,frontSlip,rearSlip,drift,x,z
0.02,89.555,1.700,0.017,0.0271,0.0003,0.000,0.000,-79.502
0.04,88.886,3.400,0.049,0.0532,0.0014,0.000,0.001,-79.009
0.06,88.333,5.100,0.102,0.0780,0.0036,0.000,0.004,-78.518
0.08,88.237,6.800,0.180,0.1019,0.0075,0.000,0.007,-78.027
0.10,88.292,8.500,0.274,0.1257,0.0133,0.000,0.013,-77.537
0.12,88.395,10.200,0.380,0.1500,0.0209,0.000,0.022,-77.046
0.14,88.500,11.900,0.494,0.1754,0.0304,0.000,0.034,-76.554
0.16,88.591,13.600,0.608,0.2024,0.0415,0.000,0.049,-76.063
0.18,88.665,15.300,0.712,0.2316,0.0539,0.000,0.068,-75.570
0.20,88.725,17.000,0.806,0.2630,0.0671,0.000,0.090,-75.078
0.22,88.775,17.168,0.888,0.2705,0.0810,0.000,0.117,-74.585
0.24,88.819,16.889,0.959,0.2721,0.0951,0.000,0.147,-74.093
0.26,88.856,16.517,1.018,0.2734,0.1093,0.000,0.183,-73.600
0.28,88.887,16.067,1.067,0.2746,0.1234,0.000,0.223,-73.108
0.30,88.911,15.552,1.105,0.2755,0.1371,0.000,0.268,-72.616
0.32,88.927,14.984,1.134,0.2763,0.1505,0.000,0.318,-72.124
0.34,88.936,14.375,1.153,0.2769,0.1633,0.000,0.373,-71.633
0.36,88.937,13.737,1.164,0.2773,0.1756,0.000,0.434,-71.142
0.38,88.930,13.081,1.167,0.2776,0.1872,0.000,0.501,-70.652
0.40,88.916,12.414,1.165,0.2777,0.1981,0.000,0.573,-70.163
0.42,88.893,11.746,1.157,0.2778,0.2083,0.000,0.652,-69.675
0.44,88.863,11.084,1.146,0.2777,0.2180,0.000,0.736,-69.188
0.46,88.825,10.434,1.132,0.2776,0.2271,0.000,0.826,-68.702
0.48,88.782,9.798,1.116,0.2774,0.2357,0.000,0.923,-68.218
0.50,88.733,9.180,1.098,0.2772,0.2438,0.000,1.025,-67.735
0.52,88.679,8.581,1.079,0.2770,0.2514,0.000,1.134,-67.254
0.54,88.620,8.004,1.060,0.2767,0.2586,0.000,1.248,-66.775
0.56,88.558,7.450,1.040,0.2764,0.2654,0.000,1.369,-66.297
0.58,88.493,6.919,1.021,0.2761,0.2718,0.000,1.495,-65.821
0.60,88.425,6.411,1.002,0.2758,0.2779,0.000,1.628,-65.348
0.62,88.355,5.926,0.983,0.2756,0.2835,0.000,1.766,-64.876
0.64,88.281,5.464,0.964,0.2753,0.2889,0.000,1.910,-64.407
0.66,88.205,5.024,0.945,0.2750,0.2938,0.000,2.060,-63.940
0.68,88.127,4.607,0.926,0.2746,0.2984,0.000,2.216,-63.475
0.70,88.046,4.212,0.907,0.2743,0.3026,0.000,2.378,-63.013
0.72,87.963,3.840,0.888,0.2740,0.3064,0.000,2.545,-62.553
0.74,87.879,3.490,0.869,0.2737,0.3098,0.000,2.718,-62.096
0.76,87.792,3.163,0.850,0.2733,0.3129,0.000,2.897,-61.641
0.78,87.704,2.858,0.831,0.2730,0.3156,0.000,3.081,-61.189
0.80,87.614,2.576,0.811,0.2726,0.3179,0.000,3.271,-60.741
0.82,87.523,2.316,0.792,0.2723,0.3198,0.000,3.466,-60.295
0.84,87.431,2.079,0.773,0.2719,0.3213,0.000,3.667,-59.852
