time,speedKph,steeringDeg,yawRadSec,frontSlip,rearSlip,drift,x,z
0.02,89.555,1.700,0.017,0.0271,0.0003,0.000,0.000,-79.502
0.04,88.886,3.400,0.049,0.0532,0.0014,0.000,0.001,-79.009
0.06,88.333,5.100,0.102,0.0780,0.0036,0.000,0.004,-78.518
0.08,88.237,6.800,0.180,0.1019,0.0075,0.000,0.007,-78.027
0.10,88.292,8.500,0.274,0.1257,0.0133,0.000,0.013,-77.537
0.12,88.395,10.200,0.380,0.1500,0.0209,0.000,0.022,-77.046
0.14,88.500,11.900,0.494,0.1754,0.0304,0.000,0.034,-76.554
0.16,88.595,13.314,0.607,0.1976,0.0415,0.000,0.049,-76.062
0.18,88.687,13.390,0.711,0.1997,0.0538,0.000,0.068,-75.570
0.20,88.777,13.334,0.804,0.2017,0.0671,0.000,0.090,-75.077
0.22,88.862,13.159,0.886,0.2034,0.0809,0.000,0.117,-74.585
0.24,88.943,12.879,0.957,0.2050,0.0950,0.000,0.147,-74.091
0.26,89.019,12.505,1.017,0.2064,0.1092,0.000,0.183,-73.598
0.28,89.089,12.052,1.065,0.2075,0.1232,0.000,0.223,-73.104
0.30,89.152,11.534,1.103,0.2085,0.1370,0.000,0.267,-72.611
0.32,89.207,10.963,1.131,0.2093,0.1502,0.000,0.318,-72.118
0.34,89.255,10.350,1.149,0.2098,0.1630,0.000,0.373,-71.625
0.36,89.295,9.709,1.159,0.2103,0.1751,0.000,0.434,-71.132
0.38,89.327,9.049,1.162,0.2105,0.1866,0.000,0.501,-70.640
0.40,89.352,8.379,1.158,0.2107,0.1974,0.000,0.573,-70.148
0.42,89.369,7.709,1.149,0.2107,0.2074,0.000,0.652,-69.658
0.44,89.378,7.045,1.135,0.2106,0.2169,0.000,0.736,-69.168
0.46,89.380,6.393,1.120,0.2105,0.2258,0.000,0.826,-68.679
0.48,89.376,5.757,1.102,0.2103,0.2341,0.000,0.923,-68.191
0.50,89.367,5.141,1.082,0.2101,0.2419,0.000,1.025,-67.705
0.52,89.353,4.546,1.060,0.2098,0.2491,0.000,1.134,-67.220
0.54,89.335,3.974,1.038,0.2095,0.2558,0.000,1.249,-66.737
0.56,89.313,3.427,1.015,0.2092,0.2621,0.000,1.370,-66.255
0.58,89.289,2.906,0.993,0.2089,0.2680,0.000,1.496,-65.775
0.60,89.262,2.411,0.970,0.2086,0.2734,0.000,1.629,-65.296
0.62,89.232,1.942,0.948,0.2082,0.2784,0.000,1.768,-64.820
0.64,89.200,1.498,0.925,0.2079,0.2829,0.000,1.913,-64.345
0.66,89.165,1.081,0.903,0.2075,0.2871,0.000,2.063,-63.872
0.68,89.129,0.690,0.880,0.2072,0.2907,0.000,2.220,-63.402
0.70,89.091,0.324,0.857,0.2068,0.2940,0.000,2.382,-62.934
0.72,89.051,0.000,0.835,0.2067,0.2968,0.000,2.550,-62.468
0.74,89.006,0.000,0.813,0.2114,0.2992,0.000,2.724,-62.004
0.76,88.956,0.000,0.792,0.2157,0.3011,0.000,2.903,-61.544
0.78,88.902,0.000,0.772,0.2195,0.3027,0.000,3.089,-61.085
0.80,88.845,0.000,0.751,0.2229,0.3039,0.000,3.279,-60.629
0.82,88.785,0.000,0.730,0.2259,0.3047,0.000,3.476,-60.176
0.84,88.724,0.000,0.710,0.2285,0.3051,0.000,3.678,-59.726
